patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,295061540756,05/09/1945,0839468289,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Huyết áp cao,4.18,Quý cô Thành Vũ,28/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Kim Trần,874692551112,12/09/1961,0940098420,jane07@example.net,"849 Hoàng Làng
Thành phố JohnHuyện, 183667",Khỏe mạnh,4.4,Cô Hồng Vũ,23/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Trung Đức Trần,045565490535,17/12/1979,0354323264,johnle@example.com,"5 John Đường
JaneHuyện, 169403",Khỏe mạnh,9.92,Bà Mai Dương,13/03/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Hoàng Phạm,550462152238,17/11/1989,0914683045,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Huyết áp cao,4.25,Kim Mai Mai,15/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Hải Mai,851821210209,23/04/1990,0924220324,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Tim mạch,3.69,Duyên Đặng,29/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Quang Nguyễn,319419914523,28/01/1953,0308908767,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tiểu đường,4.83,Thành Đặng,20/03/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Cô Linh Nguyễn,375640341484,10/06/1978,0300683956,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Huyết áp cao,4.06,Anh Châu Bùi,04/02/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Kim Mai Nguyễn,512676041029,25/08/1984,0356038526,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Tiểu đường,6.24,Ông Hưng Mai,31/05/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,500244726634,19/08/1970,0890324092,knguyen@example.com,"74 Mai Dãy
Quận JaneQuận, 161324",Tiểu đường,11.75,Yến Đặng,11/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Cô Phương Trần,567476956935,23/08/1997,0532649207,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Khỏe mạnh,11.45,Quang Đức Bùi,24/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,An Dương,228618390408,02/11/1980,0504581625,tranjohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Tim mạch,5.62,Hà Mai,28/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Trung Đức Mai,635099347373,27/02/1971,0949781221,tranjane@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Tim mạch,11.65,Nhiên Trí Bùi,23/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Xuân Đặng,762700564722,30/10/1950,0870267726,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Huyết áp cao,9.2,Huy Hải Vũ,29/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Ánh Dương,776762089793,24/09/1951,0580872505,tdang@example.org,"54 Jane Tổ
JaneThành phố, 220944",Khỏe mạnh,7.58,Phúc Hoàng,23/06/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Thành Tấn Bùi,682425481445,30/09/1979,0730129666,buijohn@example.com,"883 Bùi Ngõ
JanePhường, 989208",Khỏe mạnh,9.14,Nhật Vũ,02/04/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,539676818022,01/07/1949,0982847762,nle@example.net,"43 Hoàng Tổ
JaneThị xã, 808446",Tiểu đường,10.23,Quý cô Vi Lê,29/04/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Vũ Hải Vũ,591400800579,22/11/1951,0311641902,johnnguyen@example.org,"1 Bùi Làng
JaneThị xã, 355836",Huyết áp cao,4.5,Cô Hà Bùi,09/02/2026
8498e113-b227-462c-b53d-4330cdda24ba,Ông Tùng Phạm,157107306022,21/06/2002,0999829716,duongjohn@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Tim mạch,4.53,Bà Vi Mai,29/03/2026
13d5f2f7-709b-4d97-864c-04af3d3f3799,Quang Vũ,706029065930,05/01/1960,0938432534,lejohn@example.org,"3 Jane Số
JaneThị xã, 165290",Tim mạch,6.07,Quý cô Hồng Hoàng,20/06/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Nhật Văn Đặng,740143779384,17/04/1957,0770606830,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Huyết áp cao,10.78,Nhật Xuân Dương,15/06/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Khoa Văn Trần,899237734349,01/06/1982,0736423703,janele@example.org,"755 Vũ Số
JohnThị xã, 120324",Khỏe mạnh,5.44,Linh Phạm,28/04/2026
0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,Mai Phạm,185040157253,04/10/1996,0349794845,johnle@example.com,"45 John Hẻm
JohnXã, 126925",Huyết áp cao,5.85,Nhiên Bùi,13/03/2026
9793b9b4-1374-4146-b2c5-bd89b70b3420,Cô Yến Vũ,407885365565,26/07/1997,0976073855,hoangjohn@example.com,"850 Dương Ngõ
JanePhường, 968962",Tiểu đường,7.15,Anh Huy Lê,13/05/2026
9dac6e83-4524-4ea6-a684-6099f7294951,Quý ông Huy Hoàng,658375645837,01/02/1955,0996861019,johnvu@example.com,"9 Đặng Đường
JaneQuận, 611233",Tiểu đường,6.12,Bà Vi Vũ,03/03/2026
e14eb70d-b380-473a-989d-9d4ae15ca666,Tùng Nguyễn,555961100537,17/03/1973,0869815586,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Tiểu đường,10.65,Bà Dương Hoàng,08/03/2026
6cedd15d-5800-4c02-87ea-7ff58db06746,Quang Mai Vũ,990258295548,16/11/1957,0560988974,johnpham@example.com,"374 Trần Làng
JohnHuyện, 288158",Huyết áp cao,4.51,Nam Mai,23/01/2026
8da8eee4-0df5-4ac6-b96b-648a0ba6eab9,Hoàng Dương,878971124466,25/12/1942,0531181108,hoangjane@example.com,"047 John Số
JohnXã, 760021",Huyết áp cao,5.08,Lan Lê,27/05/2026
fe716b14-15ce-4a66-8dc8-2a1ef2f9e5fa,Cô Vân Bùi,123424157386,03/10/1979,0353110313,janeduong@example.com,"99 John Làng
Huyện JohnQuận, 351516",Tim mạch,8.06,Cô Bảo Nguyễn,15/03/2026
4a8ff810-784c-4f29-9804-02a2b07aa066,Mai Vũ,110411184627,07/02/1987,0715006542,rtran@example.org,"18 John Khu
Thành phố JohnQuận, 931131",Tim mạch,11.28,Trọng Hoàng,15/06/2026
b04d3376-77fc-4703-9fd5-a423706c5c56,Thành Vũ,829909144930,11/01/1972,0360983214,fduong@example.net,"5 Nguyễn Ngõ
Thành phố JaneXã, 142185",Tiểu đường,9.08,Quý cô Phương Dương,14/06/2026
6f962882-95d8-4980-bf37-d19c2e76128b,Ông Châu Đặng,907270644300,21/04/1965,0946615953,john25@example.com,"6 Jane Ngõ
JaneHuyện, 221552",Tiểu đường,6.38,Phương Văn Mai,25/03/2026
5c9d927d-84b8-41bb-b005-68d20de051a6,Quý ông Hưng Phạm,937893805174,27/12/1954,0344256073,janeduong@example.net,"9 John Khu
Thị xã JohnQuận, 982277",Tim mạch,9.79,Nhật Trần,27/04/2026
b77350ca-eec2-49dc-bf95-897c276aa6ce,Minh Vũ,608639178310,28/10/1965,0784144312,pduong@example.com,"982 Jane Số
JaneThành phố, 396578",Tiểu đường,6.76,Nhiên Hoàng,29/06/2026
7250ee18-260a-4962-9d81-b7f57d5911c6,Bác Dũng Mai,284807392417,09/03/1991,0305332593,uduong@example.org,"Thị xã JohnThị xã
76 Lê Dãy, 138817",Huyết áp cao,10.19,Bà Hà Dương,18/01/2026
b8f21423-03ed-41f8-b4f9-3d17e912b4bf,Quý cô Hải Lê,233246978785,15/12/1940,0342858969,jane96@example.net,"8 Đặng Dãy
Thành phố JohnPhường, 817644",Tiểu đường,10.2,Quang Trần,20/03/2026
b4323070-a23d-4c2f-82a7-96891933918c,Nhật Lê,608498735851,26/02/1986,0700482820,nguyenjane@example.org,"23 Hoàng Hẻm
Quận JohnXã, 501126",Khỏe mạnh,4.75,Quý cô Xuân Hoàng,26/01/2026
